arm,ARI,Silhouette,n
arm_e_ppvae,-0.002298,0.020147,448
arm_f_kl_cyc,0.333371,0.112524,448
arm_g_kl_fb,0.048247,0.030435,448
arm_h_kl_cyc_fb,0.210191,0.072546,448
arm_p_best,0.096068,0.069098,448
