arm,noise_level,psnr_mean,psnr_sd,psnr_ci_lo,psnr_ci_hi,ssim_mean,ssim_sd,ssim_ci_lo,ssim_ci_hi,ms_ssim_mean,lpips_mean,nll_mean,sharpness_mean,n
arm_l_nll_edge_ffl,mid,33.140,1.016,33.056,33.217,0.9036,0.0167,0.9023,0.9048,0.9615,0.1660,-2.5971,0.0208,624
arm_l_nll_edge_ffl,high,31.232,1.015,31.153,31.316,0.8755,0.0219,0.8739,0.8772,0.9414,0.2130,-2.3863,0.0258,624
arm_m_full_det,low,33.774,0.960,33.699,33.851,0.9104,0.0143,0.9093,0.9115,0.9692,0.1486,-2.6366,0.0199,624
arm_m_full_det,mid,31.688,0.964,31.614,31.767,0.8755,0.0193,0.8740,0.8770,0.9480,0.1933,-2.3947,0.0251,624
arm_m_full_det,high,29.782,0.979,29.707,29.861,0.8376,0.0251,0.8358,0.8395,0.9196,0.2479,-2.1719,0.0313,624
arm_n_perc,low,34.678,0.996,34.590,34.760,0.9198,0.0128,0.9188,0.9208,0.9721,0.1324,-2.7439,0.0176,624
arm_n_perc,mid,32.423,1.021,32.342,32.499,0.8876,0.0187,0.8860,0.8890,0.9528,0.1739,-2.4912,0.0228,624
arm_n_perc,high,30.425,1.026,30.348,30.514,0.8537,0.0244,0.8519,0.8556,0.9273,0.2211,-2.2651,0.0285,624
arm_o_prelu,low,30.173,0.963,30.096,30.250,0.8362,0.0417,0.8329,0.8396,0.9568,0.2394,-2.1668,0.0294,624
arm_o_prelu,mid,29.074,0.909,29.002,29.147,0.8037,0.0401,0.8006,0.8067,0.9343,0.2817,-2.0254,0.0309,624
arm_o_prelu,high,27.723,0.797,27.661,27.783,0.7567,0.0377,0.7537,0.7597,0.8977,0.3327,-1.8371,0.0333,624
arm_p_best,low,33.825,0.957,33.752,33.901,0.9084,0.0141,0.9073,0.9095,0.9688,0.1560,-2.6318,0.0203,624
arm_p_best,mid,31.667,0.960,31.594,31.739,0.8739,0.0197,0.8725,0.8754,0.9470,0.2171,-2.3847,0.0258,624
arm_p_best,high,29.714,0.987,29.638,29.794,0.8369,0.0258,0.8347,0.8388,0.9177,0.2766,-2.1556,0.0322,624
